id,start_lat,start_lon,end_lat,end_lon
4156,116.33387,39.80158,116.32862,39.79829
4157,116.32761,39.79768,116.3231,39.7949
4158,116.29779,39.77998,116.29531,39.77883
4159,116.23199,39.76847,116.22486,39.76607
4160,116.25785,39.76964,116.23579,39.76931
4161,116.34141,39.80627,116.3455,39.81078
4162,116.22239,39.7652,116.23579,39.76931
4163,116.20043,39.764,116.21867,39.7643
4164,116.19133,39.76419,116.20043,39.764
4165,116.30657,39.78456,116.31358,39.78887
4166,116.3138,39.789,116.32244,39.79454
4167,116.3138,39.789,116.32244,39.79454
4168,116.32244,39.79454,116.32772,39.79775
4169,116.15724,39.77477,116.17001,39.77156
4170,116.17189,39.771,116.19105,39.76422
4171,116.21885,39.76431,116.22239,39.7652
4172,116.2945,39.77844,116.29498,39.77867
4173,116.29498,39.77867,116.29937,39.78071
4174,116.2734,39.77033,116.29053,39.77656
4175,116.33463,39.80204,116.34126,39.80617
4176,116.32801,39.79792,116.33463,39.80204
4177,116.32801,39.79792,116.33463,39.80204
4178,116.29937,39.78071,116.30657,39.78456
4179,116.23755,39.76955,116.25741,39.76967
4180,116.25841,39.76965,116.2734,39.77033
4181,116.64931,40.30702,116.63757,40.26831
4182,116.65047,40.35108,116.64931,40.30702
4183,116.65009,40.30714,116.65132,40.35144
4184,116.63779,40.26831,116.65009,40.30714
4185,116.6958,40.32801,116.6607,40.32195
4186,116.78793,40.35118,116.7569,40.33653
4187,116.65014,40.30809,116.64352,40.29503
4188,116.51219,40.0114,116.50318,40.00365
4189,116.45731,39.96145,116.45333,39.95862
4190,116.48257,39.98429,116.47812,39.98026
4191,116.47804,39.9802,116.47327,39.97586
4192,116.47327,39.97586,116.46278,39.9664
4193,116.64313,40.29329,116.6412,40.28631
4194,116.65646,40.31833,116.65057,40.30879
4195,116.52265,40.02466,116.51518,40.01407
4196,117.19217,40.64064,117.16196,40.58333
4197,116.93786,40.40988,116.90096,40.39471
4198,116.90096,40.39471,116.89231,40.38697
4199,116.87411,40.37879,116.86776,40.37625
4200,116.53289,40.04073,116.53182,40.03856
4201,117.15857,40.5802,117.11987,40.53957
4202,116.46272,39.96634,116.46014,39.964
4203,116.45918,39.96313,116.45731,39.96145
4204,116.64048,40.28267,116.63732,40.26635
4205,116.48788,39.98908,116.48275,39.98445
4206,116.50229,40.00284,116.48795,39.98915
4207,116.79376,40.354,116.78793,40.35118
4208,116.75678,40.33647,116.71838,40.32851
4209,116.70407,40.32823,116.6958,40.32801
4210,116.52959,40.03485,116.52272,40.02476
4211,116.71571,40.32847,116.71317,40.32841
4212,117.11663,40.53918,117.01362,40.44517
4213,117.01183,40.44333,116.94998,40.40891
4214,116.89095,40.38569,116.87411,40.37879
4215,116.63755,40.26629,116.64157,40.28397
4216,116.69583,40.32794,116.704,40.32814
4217,116.78836,40.35129,116.79115,40.35264
4218,116.86779,40.37615,116.88807,40.38428
4219,116.51529,40.01399,116.52286,40.02467
4220,116.4574,39.96137,116.46614,39.96922
4221,116.64375,40.295,116.65077,40.30878
4222,116.65077,40.30878,116.65673,40.31846
4223,116.47824,39.98016,116.48269,39.98421
4224,116.48809,39.98906,116.50315,40.00344
4225,116.65869,40.32028,116.69312,40.3279
4226,116.52293,40.02477,116.52768,40.03185
4227,116.89106,40.38566,116.90101,40.39462
4228,116.9732,40.40579,116.93833,40.41027
4229,116.45329,39.95843,116.4574,39.96137
4230,116.90101,40.39462,116.93812,40.41014
4231,116.97605,40.40488,117.01194,40.44342
4232,116.46749,39.97044,116.47817,39.9801
4233,117.16107,40.5826,117.19106,40.63798
4234,116.6422,40.28657,116.64336,40.29326
4235,116.48287,39.98437,116.48802,39.98899
